FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,IS_DELAYED,DAY_OF_WEEK,MONTH,YEAR,DEP_HOUR,DEP_MINUTE,AIRLINE_NUM,MAJOR_ORIGIN,MAJOR_DEST,DISTANCE_CAT
2023-04-28T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2120,DCA,"Washington, DC",BOS,"Boston, MA",2200,2206.0,6.0,20.0,2226.0,2323.0,8.0,2329,2331.0,2.0,0.0,B,0.0,89.0,85.0,57.0,399.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,4,2023,22,0,4,1,1,0
2019-06-12T00:00:00.000000000Z,Envoy Air,Envoy Air: MQ,MQ,20398,3632,ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX",844,837.0,-7.0,12.0,849.0,923.0,22.0,950,945.0,-5.0,0.0,B,0.0,66.0,68.0,34.0,158.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,6,2019,8,44,13,0,1,0
2023-06-27T00:00:00.000000000Z,JetBlue Airways,JetBlue Airways: B6,B6,20409,745,JFK,"New York, NY",PSE,"Ponce, PR",2256,1329.775913,10.12332618,16.64304562,1352.360989,1462.499569,7.678982184,300,1466.511162,4.26085815,1.0,C,0.0,244.0,136.6205411,112.3108396,1617.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,6,2023,22,56,7,1,0,3
2021-10-13T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,514,CLT,"Charlotte, NC",DFW,"Dallas/Fort Worth, TX",916,912.0,-4.0,14.0,926.0,1044.0,10.0,1109,1054.0,-15.0,0.0,B,0.0,173.0,162.0,138.0,936.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,10,2021,9,16,4,1,1,1
2022-08-08T00:00:00.000000000Z,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5072,TYS,"Knoxville, TN",CLT,"Charlotte, NC",911,903.0,-8.0,32.0,935.0,1021.0,12.0,1023,1033.0,10.0,0.0,B,0.0,72.0,90.0,46.0,177.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,8,2022,9,11,8,0,1,0
2021-06-26T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1613,LGA,"New York, NY",MSP,"Minneapolis, MN",840,838.0,-2.0,12.0,850.0,1011.0,4.0,1044,1015.0,-29.0,0.0,B,0.0,184.0,157.0,141.0,1020.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,6,2021,8,40,1,1,1,2
2023-05-01T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2088,BWI,"Baltimore, MD",DEN,"Denver, CO",1435,1504.0,29.0,12.0,1516.0,1633.0,7.0,1635,1640.0,5.0,0.0,B,0.0,240.0,216.0,197.0,1491.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,5,2023,14,35,3,1,1,2
2021-02-24T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2519,DFW,"Dallas/Fort Worth, TX",TUS,"Tucson, AZ",1450,1445.0,-5.0,14.0,1459.0,1607.0,3.0,1624,1610.0,-14.0,0.0,B,0.0,154.0,145.0,128.0,813.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,2,2021,14,50,4,1,0,1
2022-12-13T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2592,STL,"St. Louis, MO",MSP,"Minneapolis, MN",615,610.0,-5.0,9.0,619.0,727.0,9.0,749,736.0,-13.0,0.0,B,0.0,94.0,86.0,68.0,448.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,12,2022,6,15,1,0,1,0
2019-09-30T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1344,SFO,"San Francisco, CA",MSP,"Minneapolis, MN",1245,1251.0,6.0,16.0,1307.0,1752.0,2.0,1820,1754.0,-26.0,0.0,B,0.0,215.0,183.0,165.0,1589.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,9,2019,12,45,1,1,1,3
